author,title
"Reeves, Adrienne Ellis",Heaven Knows
"Reeves, Kevin",s.m.i.l.e
"Reid, Maryann",Sex and the Single Sister: Five Novellas
"Reid, Maryann","Use Me or Lose Me: A Novel of Love, Sex, and Drama"
"Reid, Maryann",Use Me or Lose Me
"Reynard, Nigel",In Due Time: A Novel
"Reynolds, April",Revelations: A Novel
"Reynolds, April",Knee-Deep in Wonder: A Novel
"Reynolds, April",Reveltaions: A Novel
"Rhodes, Crystal",Sin
"Rhodes, Crystal",Sweet Sacrifice
"Rhodes, Hari",A Chosen Few
"Rhodes, Hari",The Hollow and the Human
"Rhodes, Jewell Parker",Voodoo Dreams: A Novel of Marie Laveau
"Rhodes, Jewell Parker",Magic City
"Rhodes, Jewell Parker",Season (Formerly Voodoo Season)
"Rhodes, Jewell Parker",Moon (Formerly Yellow Moon)
"Rhodes, Jewell Parker",Hurricane
"Rhone, Alexus",Secret Shame
"Rice, Patty",Somethin' Extra
"Rice, Patty",Reinventing the Woman: A Novel
"Richards, Nat","Otis Dunn, Manhunter"
"Richardson, Brenda Lee",Chesapeake Song
"Richardson, Craig",Deep Woods
"Richardson, Nola",When One Loves: the Black Experience in America
"Ridley, John",A Conversation with the Mann
"Ridley, John",Those Who Walk in Darkness
"Riley, Cole",The Devil to Pay
"Riley, Cole",Dark Blood Moon
"Riley, Lisa",At Last
"Riley, Mildred E.",Yamilla
"Riley, Mildred E.","Akayna, Sachem's Daughter"
"Riley, Mildred E.",Jouney's end
"Riley, Mildred E.",Midnight Moon
"Riley, Mildred E.",Love Always
"Rivera Correa, R.R.",The Pariahs
"Rivers, V. Anthony",Everybody Got Issues
"Roach, Cuthbert M.","The Princess of Nasraqpur: or, A Daughter of Allah"
"Roach, Thomas E.",Victor
"Roberts, Walter A",The Royal Street
"Roberts, Walter A.",The Haunting Hand
"Roberts, Walter A.",Single Star (The): A Novel of Cuba in the '90s
"Roberts, Walter A.",The Top Floor Killer
"Roberts, Walter Adolphe",The Mind Reader
"Robertson, David doc","Family Tree, Taking Root"
"Robinson, Arthur",Hang that Nigger
"Robinson, C. Kelly",Not All Dogs: A Novel
"Robinson, C. Kelly",Between Brothers: A Novel
"Robinson, C. Kelly",Ladies Man
"Robinson, Cheryl",Memories of Yesterday
"Robinson, J. Terry",White Horse in Harlem
"Robotham, Rosemarie",Zachary's Wings
"Roby, Kimberla Lawson",Here and Now
"Roby, Kimberla Lawson",Casting The First Stone
"Roby, Kimberla Lawson",A Taste of Reality
"Roby, Kimberla Lawson",Too Much of a Good Thing
"Roby, Kimberla Lawson",The Best-Kept Secret
"Roby, Kimberla Lawson",Changing Faces
"Roby, Kimberla Lawson",Love & Lies
"Roby, Kimberla Lawson",Sin No More
"Roby, Kimberla Lawson",Be Careful What You Pray For
"Roby, Kimberla Lawson",The Reverend's Wife: A Reverend Curtis Black Novel
"Roby, Kimberla Lawson",The Perfect Marriage
"Roby, Kimberla Lawson",Best Friends Forever
"Roby, Kimberla Lawson",Copycat
"Rochelle, Alers; Ray, Francis; Hill, Donna; and Brenda Jackson",Welcome to Leo's
"Rochon, Farrah",Passion's Song
"Rogers, Gloree","Love, or a Reasonable Facsimile"
"Rollins, Lamen",The Human Race a Gang
"Rose, Odessa",Water in a Broken Glass
"Ross, Gary Earl",The Wheel of Desire and Other Intimate Hauntings
"Ross, Gary Earl",Shimmerville: Tales of the Macabre and Curious
"Ross, George Hamlin",Beyond the River
"Rowell, Victoria",The Young and the Ruthless: Back in the Bubbles
"Royal, A. Bertrand",Which Way to Heaven
"Rudolph, Christopher",Boy Who Cursed God
"Rutland, Eva",No Crystal Stair
"Ryan, Reese",Playing with Desire
"Sanders, Marcella",Shadow of Love
"Sanders, Tom",Her Golden Hour
"Sanders, Yolanda Tonette",Secrets of a Sinner
"Santiago, Danielle",Little Ghetto Girl
"Santiago, Danielle",Grindin'
"Santiago, Danielle",Allure of the Game
Sapphire,Push
Sapphire,The Kid
"Sarden, Claudia",The Memoirs of Dolly: A High School Graduate
"Sarsfield, Mairuth",No Crystal Stair: A Novel
"Saunders, Charles",Imaro
"Saunders, Charles",Imaro 2: The Quest for Cush
"Saunders, Charles",Imaro III: The Trail of Bohu
"Saunders, Charles",Imaro: The Naama War
"Saunders, Charles",Damballa
"Saunders, Earl",The Investigation
"Savoy, Deidre",Spellbound
"Savoy, Deidre",Midnight Magic
"Savoy, Deidre",Holding Out for a Hero
"Savoy, Deidre",Could It Be Magic?
"Savoy, Deidre",Not the One
"Savoy, Deidre",Once and Again
"Savoy, Deidre; Thomas, Jacquelin; and Karen White-Owens","To Mom, with Love"
"Savoy, Deirdre",Always
"Savoy, Deirdre; Thomas, Jaquelin; and Karen White-Owens","To Mom, With Love"
"Sawyer, Donna Drew",Provenance
"Scott-Heron, Gil",Nigger Factory (The)
"Scott, Tracie J.",The Puzzle
"Seerani, Sonia",Roses are Red
"Sékou; Salaam, Kiini Ibura; T'kalla; Brown, Elizabeth Clara; Tarpley, Natasha; Marks, Korby; Shange; Green, Kim; Ekere Tallie, Mariahadessa; and Leticia Benson",When Butterflies Kiss
"Sewell, Earl",The Good Got to Suffer With the Bad
"Sewell, Earl",Taken for Granted
"Shackleford, Frank",Old Rocking Chair
"Shackleford, William H.",Along the Highway
"Shange, Ntozake","Sassafrass, Cypress & Indigo"
"Shange, Ntozake",Betsey Brown
"Shange, Ntozake",Liliane: Resurrection of the Daughter
"Shannon, Ray",Man Eater
"Shannon, Ray",Firecracker
"Shapodee, Keija",Written in Red Ink: A Novel
"Shapodee, Kieja",Broken Beyond Repair: The Sequel
"Sharp, Priscilla Stone",Langhorn & Mary: A Love Story
"Sharp, Priscilla Stone",Langhorn & Mary:A Love Story
"Shaw, Letty M.",Angel Mink
"Shears, Carl L. (Saggittarus)",Niggers and Po' White Trash
"Shears, Carl L. (Saggittarus)",The Blackness of my Skin and the Kinkiness of my Hair
"Shears, Carl L. (Saggittarus)",Neggar Journeys into Nightmare
"Shears, Carl L. (Saggittarus)",The Count-Down to Black Genocide
"Shears, Carl L. (Saggittarus)",Before the Setting Sun: The Age Before Hambone
"Sherman, Charlotte Watson",A Kiss at Sunrise
"Shockley, Ann Allen",Say Jesus and Come to Me
"Shores, Minnie T.",Publicans and Sinners
"Simanga, Michael",In the Shadow of the Son: A Novel
"Simmons, Herbert Alfred",Cornerboy
"Simone, Nea Anna",Reaching Back
"Sims, Janice",Affair of the Heart
"Sims, Janice",All the Right Reasons
"Sims, Janice",A Bittersweet Love
"Sinclair, April",Coffee Will Make You Black: A Novel
"Sinclair, April","Come on Baby, Light My Fire: Roman"
"Singleton, Alicia M.",Dark Side of Valor
"Skinner, Theodosia B.",Ice Cream from Heaven
"Skinner, Theodosia B.",Dilemma of a College Girl
"Sloan, Gayle Jackson",Saturday's Child
"Smith-Levin, Judith",Do Not Go Gently
"Smith, Bernard S.",Born For Malice
"Smith, Daniel",Johnny Buffalo
"Smith, George Lawson",Transfer
"Smith, Jason",Love Don't Come Easy
"Smith, Joe",Dagmar of Green Hils
"Smith, Lois A. (Jezebelle)",The Most Precious Moments: Life is One Long Chapter
"Smith, Mary Burnett",Miss Ophelia
"Smith, Mary Burnett",Ring Around the Moon
"Smith, Maurice L.",Who Cares
"Smith, Odessa",The Flame: A Dramatic Novel
"Smith, William Gardner",Return to Black America
"Smyer, Adam",Knucklehead
"Smythwick, Jr., Charles A.",False Measure: A Satirical Novel of the Lives and Objectives of Upper Middle-Class Negroes
"Sneed, Tamara",A Royal Vow
"Snoe, Eboni",A Sheik's Spell
"Snoe, Eboni",Beguiled
"Snoe, Eboni",Emeralds Fire
"Snoe, Eboni",Tell Me I'm Dreamin'
"Snoe, Eboni",A Chance on Lovin' You
"Snoe, Eboni",Wishin' on a Star
"Snoe, Eboni",Followin' a Dream
"Souljah, Sister",Midnight
"Souljah, Sister",A Deeper Love Inside
"Spence, Thomas and Eric Heath",Martin Larwin
"Spencer-Strachan, Louise",Defending Deandra
"Spencer-Strachan, Louise",The Train Ride
"Spencer, Camika",When All Hell Breaks Loose: A Novel
"Spencer, Mary Etta",The Resentment
"Springs, J.B.",Mink
"Springs, John III",Beyond Boundaries
"Stampede, Herman",Of Melancholy Male
"Stanhope, Niqui",Night to Remember
"Stanhope, Niqui",Distant Memories
"Stanhope, Niqui",Made For Each Other
"Stanhope, Niqui",Sweet Temptation
"Stanhope, Niqui",Hopelessly Devoted
"Stanhope, Niqui",Changing the Rules
"Stephens, Barbara",A Toast to Love
"Steptoe, John",Mufaro's Beautiful Daughters
"Sterling, Anthony",Cookie Cutter
"Stern, Horald",Slackland
"Steward, Theodophilus Gould",A Charleston Love Story or Hortense Vancross
"Steward, Theophilus Gould","Charleston Love Story; or, Hortense Vanross"
"Stewart, J Keith",Promise Me
"Stewart, Rae S.",Dying is So Easy
"Stewart, Rae S.",Gotta Pay to Live
"Stone, Charles Sumner",King Strut
"Stowers, Walter",Appointed: An American Novel
"Stratton, Shelly",The House on Harbor Hill
"Strauss, Larry",Fake Out
"Stringer, Vickie M.",Imagine This
"Stringer, Vickie M.",Low Down and Dirty: A Novel
"Stringer, Vikcie M.",Dirty Red
"Stringer, Vikcie M.",Still Dirty
"Styles, T.",Black and Ugly
"Styles, T.",A Hustler's Son II
"Styles, T.",Black and Ugly As Ever
"Swindle, Renee",Please Please Please
"Swinson, Kiki",Wifey
"Swinson, Kiki",I'm Still Wifey
"Swinson, Kiki",The Score
"Swinson, Kiki",The Mark
"Swinson, Kiki",Dead On Arrival
"Tademy, Lalita",Cane River
"Talbot, Dave",The Musical Bride
"Tate Billingsley, Reshonda; Christopher Murray, Victoria",A Blessing & a Curse
"Taylor, Esther",Colorblind
"Taylor, Mel",The Mitt Man
"Taylor, Mildred D.",Mississippi Bridge
"Teague, Bob",Agent K-13: the super-spy
"Teague, Bob",Super-spy K-13 in outer space
"Teague, Robert L. (Bob)",The Climate of Candor
"Teague, Robert L. (Bob)",Adam in Blunderland
Teague. Kwame,"The Adventures of Ghetto Sam; and, The Glory of My Demise"
"Teasley, Lisa",Glow in the Dark
"Tervalon, Jerry",Living for the City
"Tervalon, Jervey",All the Trouble You Need
"Thelwell, Michael",The Harder they Come
"Thomas, Brenda L.","Threesome: Where Seduction,Power, and Basketball Collide"
"Thomas, Brenda L.",The Velvet Rope
"Thomas, Jacquelin",Hidden Blessings
"Thomas, Jacquelin",A Resolution of Love
"Thomas, Jacquelin",Forever Always
"Thomas, Jacquelin",Someone Like You
"Thomas, Jacquelin",Family Ties
"Thomas, Jacquelin",Love's Miracle
"Thomas, Jacquelin",Singsation
"Thomas, Jacquelin",Undeniably Yours
"Thomas, Jacquelin",With a Song in My Heart
"Thomas, Jacquelin",The Prodigal Husband
"Thomas, Jacquelin",Stolen Hearts
"Thomas, Jacquelin",A Change is Gonna Come
"Thomas, Jacquelin",Defining Moments
"Thomas, Joyce Carol",Water Girl
"Thomas, Joyce Carol",House of Light: A Novel
"Thomas, Joyce Carol",In the Land of Milk and Honey
"Thomas, Luke","Saxual Feelings: A Sexy Tale of Love, Lust and Music"
"Thomas, R. Kayeen",The Seven Days
"Thomas, Trisha R.",Nappily Married
"Thomas, Will",The Seeking
"Thompson-Spires, Nafissa",Heads of the Colored People: Stories
"Thompson, Bonita",Vulnerable: A Novel
"Thompson, Jim",Nothing But a Man
"Thornton, Delores",Ida Mae: A Novel
"Thornton, Delores",Ida Mae: The Saga Continues
"Thornton, Delores",Babe
"Thornton, Delores",Anybody Seen Junebug?
"Thorup, Lester W.",Came the Harvest
"Tillman, Carolyn",Life on Wheels
"Tillman, Carolyn",Even the Spokes Cried Loud
"Tolbert, Stacey",Baring My Soul
"Tomas, Elean",The Last Room
"Tooks, Lance",Narcissa
Toure,The Portable Promised Land
"Townsend, Jacinda",Saint Monkey: A Novel
"Trice, Dawn Turner",An Eighth of August
"Tucker, Lisa",The Song Reader: A Novel
"Tucker, Pat",Party Girl: A Novel
"Turner, Allen Pelzer",Oaks of Eden
"Turner, Darcel",Dana Dances on Paper
"Turner, Nikki",The Glamourous Life
"Turner, Nikki",Riding Dirty on I-95
"Turner, Nikki",Black Widow
"Turner, Nikki",The Banks Sisters 2
"Turner, Nikki",The Banks Sisters 3
"Turner, Nikki",The Banks Sisters Complete
"Turner, Nikki, Chunchi, Glenn, Roy",Girl from Da Hood
"Turner, Peter",Black Heat
"Turney, Denise",Portia: A Unique Woman Who Touches the World
"Turney, Denise",Love Has Many Faces
"Turney, Denise",Spiral
"Turnipseed, Erica Simone",A Love Noire: A Novel
"Turnor, Mae Caesar",Uncle Ezra Holds Prayer Meeting in the White House
"Tyner, Marilyn",Step by Step
"Tyner, Marilyn",Secrets
"Tyner, Marilyn",False Impression
"Tyner, Marilyn",Everything to Gain
"Tyner, Marilyn",One Heartbeat at a Time
"Tyner, Marilyn",Love is Not Enough
"Tyree, Omar","Flyy Girl: Inside the Big City There's a Mad Obession for Gold, Sex-n-Money"
"Tyree, Omar",Capital City
"Tyree, Omar",Battlezone
"Tyree, Omar",Single Mom
"Tyree, Omar",Sweet St. Louis
"Tyree, Omar",Just Say No!
"Tyree, Omar",For the Love of Money: A Novel
"Tyree, Omar",Leslie: A Novel
"Tyree, Omar",Dark Thirst
"Tyree, Omar",What They Want
"Tyree, Omar",The Last Street Novel
"Tyree, Omar",Pecking Order
"Tyree, Omar",Dirty Old Men
Tysha,The Boss: The Story of a Female Hustler
"Ujaama, E. James",Coming Up
"Ulysse, Katia D.",Mouths Don't Speak
"Valentine, Monie",How to Buy a Man
"Van Dyke, Henry",Dead Piano
"Van Peebes, Melvin",Un American en Enfer
"Van Peebles, Melvin",Le Fete a Harlem and La Permission
"Van Peebles, Melvin",Don't Play Us Cheap
"Van Peebles, Melvin",Just an Old Sweet Song
"Van Peebles, Melvin",True American: A Folk Fable
"Van Peebles, Melvin",Panther
"Vaught, Estella",Vengeance is Mine
"Verne, Berta",Elastic Fingers
"Vernon, Olympia",Eden
"Vroman, Mary Elizabeth",Esther
"Walker, Blair S.",Up Jumped the Devil
"Walker, Blair S.",Hidden in Plain View: A Darryl Billups Mystery
"Walker, Blair S.",Don't Believe Your Lying Eyes
"Walker, Claude, Jr.",Sabih
"Walker, Drake",Suck and the Preacher
"Walker, Drake",Buck and the Preacher
"Walker, Mari",Never As Good As The First Time
"Walker, Pat G'Orge",Sister Betty! God's Calling You!
"Walker, Sherrie",Mistress of the Game
"Walker, Thomas Hamilton B.","Bebbly; Or, the Victorious Preacher"
"Walker, Thomas Hamilton B.","Revelation, Trial and Exile of John Epics"
"Walker, Thomas Hamilton B.","J. Johnson, Or, The Unknown Man: An Answer to Mr. Thom. Dixon's 'Sins of the Fathers'"
"Walker, Thomas Hamilton B.","J. Johnson; Or, The Unknown Man"
"Walker, Thomas Hamilton Beb","Bebbly, or The Victorious Preacher"
"Walker, Thomas Hamilton Beb","Revelation, Trial and Exile of John in Epics"
"Walker, Wilbert L.",The Pride of Our Hearts
"Walls, Dr. Bryan E.",The Road that Led to Somewhere
"Walters, Linda",On a Wing and a Prayer
"Walters, Linda",You Remind Me
"Wamble, Thelma",All in the Family
"Warbash, Denver*",Execution by Choice
"Ward, Thomas Player",The Right to Live
"Ward, Thomas Playfair",The Truth that Makes Men Free
"Ware, Naum L.",Roses Have Thorns
"Ware, Naum L.",The Rose Garden
"Warner, Samuel Jonathan",Madam President Elect
"Warren, Alyce R.",Into these Depths
"Warren, Tiffany L.",The Pastor's Husband
"Warren, Tiffany L.",Her Secret Life
"Wash, Sonya Senell",RIP 'Til We Meet Again
"Washington, Altonya",Guarded Love
"Washington, Altonya",Remember Love
"Washington, Catherine Thomas",Angel in Darkness
"Washington, Cecil",Walkware
"Washington, Cecil",Alien Erotica
"Washington, Doris V.",Yulan
"Washington, Margaret",Narrative of Sojourner Truth
"Waterman, Charles Elmer",The White Fawn
"Waterman, Charles Elmer",Crib Queens
"Waters, Annie",Glimmer
"Watkins, Linda",Althea: A Novella
"Watson, Lydia",Our Homeward Way
"Watts, Stephanie Powell",No One Is Coming to save Us: A Novel
"Wayans, Damon",Red Hats
"Webb, Charles Lewis",Sasebo Diary
"Weber, Carl",Lookin' for Luv
"Weber, Carl",So You Call Yourself a Man
"Weber, Carl",Something on the Side
"Weber, Carl",Big Girls Do Cry
"Weber, Carl",The Man in 3B: A Novel
"Weber, Carl",Man on the Run
"Weber, Carl; and Eric Pete",The Family Business
"Weber, Carl; and Stephanie Covington Armstrong",No More Mr. Nice Guy: A Family Business Novel
"Weber, Carl; Hunt, La Jill",The Family Business 4: A Family Business Novel
"Welch-Tyson, Delorys",Gingersnaps
"Welles, Rosalind",Entwined Destinies
"Wells, Jack Calvert",Out of the Deep
"Wells, Moses Peter",Working for Progress
"Wells, Moses Peter",Three Adventurous Men
"Wesley, Valerie Wilson",Devil's Gonna Get Him: a Tamara Hayle Mystery
"Wesley, Valerie Wilson",No Hiding Place: a Tamara Hayle Mystery
"Wesley, Valerie Wilson",Easier to Kill: a Tamara Hayle Mystery
"Wesley, Valerie Wilson",Ain't Nobody's Business If I Do
"Wesley, Valerie Wilson",Always True to You in My Fashion
"Wesley, Valerie Wilson",Playing My Mother's Blues
"West, C. Alexander",Lessons
"West, Chassie",Sunrise
"West, Chassie",Loss of Innocence
"West, Chassie",Killing Kin
"West, Chassie",Killer Riches
"West, John B",Never Kill A Cop
"West, John B.",Cobra Venom
"West, John B.",AnEye for An Eye
"West, John B.",Taste for Blood (A)
"West, William",Cornered
"Wheatley, Ronald B.",A Song of Africa
"Wheeler, Amanda",Arms of the Magnolia
"Wheeler, Amanda",Beyond the Fire
"White, Franklin",Fed Up With the Fanny
"White, Franklin",Cup of Love
"White, Franklin",Til' Death Do Us Part: A Collection of Stories
"White, Monica",Shades of Desire
"White, Thomas J.",To Hell and Back at 16
"Whitehead, Colson",The Intuitionist: A Novel
"Whitehead, Colson",Sag Harbor
"Whitehead, Colson",The Underground Railroad
"Whitfield, Shereé","Wives, Fiancées, and Side-Chicks of Hotlanta"
"Whitfield, Van","Beeperless Remote: A Guy, Some Girls & His Answering Machine"
"Whitney, Jim E.",Wayward O'er Tuner Sheffard
"Wicker, Amberlina",Made in Heaven
"Wicker, Amberlina",Private Matters
"Wideman, John E.",American Histories: Stories
"Wideman, John Edgar",Reuben
"Wideman, John Edgar",Philadelphia Fire: A Novel
"Wiggins, Jr., Walter",Dreams in Reality of the Undersea Craft
"Wilkinson, Crystal",The Birds of Opulence
"WIlkinson, Crystal E","Blackberries, Blackberries"
"Williams-Myers, Albert James",African Dreams: To Tell Their Story of Old New York
"Williams, Billy Dee and Rob MacGregor",PSI/NET
"Williams, Billy Dee; Elizabeth Atkins Bowman",Twilight: A Novel
"Williams, Chancellor",Have You Been to the River
"Williams, Dennis A.",Crossover
"Williams, Dennis A. & Spero Pines",Them That's Not
"Williams, E.G.",Not Like Niggers
"Williams, John A.",Jacob's Ladder
"Williams, Margaret I.",A Conspiracy to Ponder
"Williams, Richard Leroy",Parson Wiggin's Son
"Williams, Robyn",Preconceived Notions
"Williams, Robyn",A Twist of Fate
"WIlliams, Sheila",Dancing on the Edge of the Roof
"Williams, Synithia",A New York Kind of Love
"Williams, Wendy",Hold Me in Contempt: A Romance
"Williams, Wendy*",Ritz Harper Goes to Hollywood
"Wilson-Harris, Crystal",The Art of Love
"Wilson-Harris, Crystal",Cherish
"Wilson, D.B.",Betrayed
"Wilson, Harriet E.","Our Nig; or, Sketches from the Life a Free Black"
"Wilson, Merzie",Nealites: Doc Genius and Henry the Stud
"Wilson, Pat",The Sign of Keloa
"Winslow, Crystal Lacey","Live, Love and Loneliness"
"Winslow, Crystal Lacey",The Criss Cross
"Winslow, Crystal Lacey",Love & Lies
"Winston, Betty",The Africans
"Winters, Angela",Only You
"Winters, Angela",Island Promise
"Winters, Angela",Sweet Surrender
"Winters, Angela",The Business of Love
"Winters, Angela",A Forever Passion
"Winters, Angela",Know by Heart
"Winters, Angela",Dangerous Memories
"Winters, Angela",Love on the Run
"Winters, Angela",Saving Grace
"Winters, Angela; Louise, Kim; and Nìqui Stanhope",Season of Love
"Wise, Leonard",Dumachas And Sheba
"Wood, Odella Phelps",High Ground
"Woods, Felicia",Southern Nights
"Woods, Paula",Inner City Blues: A Charlotte Justice Novel
"Woods, Paula L",Stormy Weather
"Woods, Paula L",Dirty Laundry
"Woods, Paula L.",Dirty Laundry
"Woods, Stuart",Chiefs
"Woods, Stuart",Run Before the Wind
"Woods, Stuart",Deep Lie
"Woods, Stuart",White Cargo
"Woods, Teri",True to the Game
"Woods, Teri","Newark, New Jersey"
"Woods, Teri",Dutch II: Angel's Revenge
"Woods, Teri",Angel
"Woods, Teri",Deadly Reigns II
"Woods, Teri",True to the Game II
"Woods, Teri",True to the Game III
"Woods, Williams B.",Lancaster Triple Thousand
"Woodson, Jacqueline",Another Brooklyn
"Wright, Courtni; Perrin, Kayla; and Jancie Sims",A Very Special Love
"Wright, Elle",Her Kind of Man
"Wright, Jerome Dyson","Poor, Black And in Real Trouble"
"Wynn, Angela Patrick",Everything She Wants
"Yerby, Frank",The Odor of Sanctity
"Yerby, Frank",The Voyage Unplanned
"Yerby, Frank",Hail the Conquering Hero
"Yerby, Frank",Darkness in Ingraham's Crest
"York, Nevada",Caught Up
"Young, Al",Sister X
"Young, James L.",Helen Duval: A French Romance
"Young, Kenneth",Selene
"Young, Pamela Samuels",In Firm Pursuit
Zane,Addicted
Zane,The Sex Chronicles: Shattering the Myth
Zane,Shame On It All
Zane,Gettin Buck Wild: Sex Chronicle II
Zane,Nervous
Zane,Skyscraper: A Novel
Zane,Afterburn
Zane,Honey Flava: The Eroticanoir.com Anthology
Zane,Vengeance: A Novel
"Zane; Mason, J.D.; Cheekes, Shonda",Blackgentlemen.com
